name,clf_predicted_religion,clf_max_prob,prob_Hindu,prob_Muslim,prob_Sikh,prob_Christian,prob_Jain,prob_Buddhist
saadhu,Hindu,0.8116589047811442,0.8116589047811442,0.08600799675741823,0.007964907570311288,0.09295336400777185,5.5731098923948886e-05,0.0013590957844305778
saadik,Hindu,0.6842822120772378,0.6842822120772378,0.1616097360770856,0.0012752684254219236,0.1526074891756158,6.0637955221415444e-05,0.00016465628941770647
saagar,Christian,0.8919095220475332,0.0978219125689935,0.007354442444517525,0.0024048511687111683,0.8919095220475332,0.00019228438365058459,0.0003169873865940886
saah,Christian,0.6896530196866497,0.15263975284985962,0.1549307590104749,0.0027183161381906015,0.6896530196866497,2.7050021051374233e-05,3.110229377381388e-05
saahab,Muslim,0.6590336920388107,0.29340581542296035,0.6590336920388107,0.001254157269820193,0.046241902140719375,3.424924637069806e-05,3.0183881318698036e-05
saahajahaa,Muslim,0.6137881011022621,0.2442273713331787,0.6137881011022621,0.009915135850776805,0.13194010787331398,3.1077499253418704e-05,9.820634121494592e-05
saahajahaam,Muslim,0.5937018439200488,0.2830509911985715,0.5937018439200488,0.009666778015384413,0.11339876303773094,2.5675590032974184e-05,0.0001559482382314582
saahanavaaj,Hindu,0.5895874881306381,0.5895874881306381,0.03969267057387354,0.000860134327768959,0.3665769307316352,0.002998686897701168,0.0002840893383831486
saaharookh,Hindu,0.8915982325347123,0.8915982325347123,0.07826901133311144,0.013709201062148197,0.016229787079017892,5.499786017801341e-05,0.00013877013083245742
saaheb,Muslim,0.6788757617598397,0.09997202427587518,0.6788757617598397,0.001817962000660138,0.21914208434456375,0.0001464978926885187,4.5669726372719405e-05
saaheen,Christian,0.4701850198467834,0.12279604884118826,0.3949409853040683,0.012049205775525384,0.4701850198467834,6.530124685698428e-06,2.221010774898337e-05
saahid,Muslim,0.8679019474100763,0.06486991919222615,0.8679019474100763,0.0016068147230281187,0.06556240377480628,3.12963811102417e-05,2.7618518752893176e-05
saahidaa,Muslim,0.5378317213976282,0.19952857138526978,0.5378317213976282,0.0018356559523076612,0.2606819961958383,5.873365917807701e-05,6.332140977794759e-05
saahil,Christian,0.6826500811191192,0.1174116526183751,0.19793947817769564,0.001969316766198864,0.6826500811191192,8.226587650612381e-06,2.1244730960661687e-05
saahin,Muslim,0.4199378545162196,0.29418385140956943,0.4199378545162196,0.012196922611315188,0.27355258598729504,9.341839861059812e-05,3.536707699027269e-05
saahinaa,Christian,0.5540587420934379,0.19962317284217151,0.24076435184615197,0.005332528505606212,0.5540587420934379,0.0001233519630252934,9.785274960726711e-05
saahoo,Hindu,0.6608326440882395,0.6608326440882395,0.04493002480682234,0.00296179025259142,0.2912242338881429,9.001826241573594e-06,4.230513796221173e-05
saahu,Hindu,0.8557021798208672,0.8557021798208672,0.03205828005024617,0.0020539042912494586,0.11011389310416542,1.3550267131499828e-05,5.8192466340142664e-05
